PUBMEDID	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	SNPS	RISK ALLELE FREQUENCY	P-VALUE	OR or BETA
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs707824	NR	6E-7	1.33
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs12289961	NR	1E-7	1.29
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs12289961	NR	4E-8	1.29
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs2621416	NR	2E-9	1.57
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs2621416	NR	2E-9	1.57
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs2647045	NR	4E-10	1.69
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs2647045	NR	4E-10	1.69
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs2647046	NR	2E-6	1.25
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs2647046	NR	2E-6	1.25
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs4530903	NR	2E-8	1.37
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs4530903	NR	2E-8	1.37
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs4530903	NR	3E-12	1.93
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs4530903	NR	3E-12	1.93
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs4530903	NR	3E-6	1.29
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs4530903	NR	3E-6	1.29
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs9268853	NR	2E-10	1.56
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs9268853	NR	2E-10	1.56
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs9268853	NR	2E-10	1.56
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs9268853	NR	2E-10	1.56
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs948562	NR	3E-7	1.32
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs948562	NR	6E-7	1.29
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs948562	NR	3E-7	1.32
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs948562	NR	6E-7	1.29
23349640	http://europepmc.org/abstract/MED/23349640	Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.	Lymphoma	275 Follicular non-Hodgkin’s Lymphoma cases, 269 diffuse large B-cell non-Hodgkin’s Lymphoma cases, 198 other non-Hodgkin’s Lymphoma cases, 202 Hodgkin’s Lymphoma cases, 4,044 controls	202 European ancestry Follicular non-Hodgkin’s Lymphoma cases, 367 European ancestry diffuse large B-cell non-Hodgkin’s Lymphoma cases, 577 European ancestry other non-Hodgkin’s Lymphoma cases, 99 European ancestry Hodgkin’s Lymphoma cases, 2,596 European ancestry controls	rs7453920	NR	5E-6	1.19
23726668	http://europepmc.org/abstract/MED/23726668	A genome-wide association study of a sustained pattern of antidepressant response.	Response to antidepressant treatment (citalopram)	869 European, Hispanic, African American, Asian, mixed race and other ancestry sustained response individuals, 247 European, Hispanic, African American, Asian, mixed race and other ancestry unsustained response individuals	394 European ancestry sustained response individuals, 191 European ancestry unsustained response individuals	rs10492002	NR	4E-6	1.64
23726668	http://europepmc.org/abstract/MED/23726668	A genome-wide association study of a sustained pattern of antidepressant response.	Response to antidepressant treatment (citalopram)	869 European, Hispanic, African American, Asian, mixed race and other ancestry sustained response individuals, 247 European, Hispanic, African American, Asian, mixed race and other ancestry unsustained response individuals	394 European ancestry sustained response individuals, 191 European ancestry unsustained response individuals	rs7816924	NR	2E-7	2.14
23726668	http://europepmc.org/abstract/MED/23726668	A genome-wide association study of a sustained pattern of antidepressant response.	Response to antidepressant treatment (citalopram)	869 European, Hispanic, African American, Asian, mixed race and other ancestry sustained response individuals, 247 European, Hispanic, African American, Asian, mixed race and other ancestry unsustained response individuals	394 European ancestry sustained response individuals, 191 European ancestry unsustained response individuals	rs12080794	NR	9E-6	1.75
22180457	http://europepmc.org/abstract/MED/22180457	A genome-wide association study identifies locus at 10q22 associated with clinical outcomes of adjuvant tamoxifen therapy for breast cancer patients in Japanese.	Response to tamoxifen in breast cancer	240 Japanese ancestry female cases	222 Japanese ancestry female cases	rs10509373	0.024	6E-8	4.51
25038754	http://europepmc.org/abstract/MED/25038754	Genome-wide association analysis in East Asians identifies breast cancer susceptibility loci at 1q32.1, 5q14.3 and 15q26.1.	Breast cancer	2,867 Chinese ancestry cases, 2,285 Chinese ancestry controls, 2,246 Korean ancestry cases, 2,052 Korean ancestry controls	5,029 Chinese ancestry cases, 5,302 Chinese ancestry controls, 6,066 Korean ancestry cases, 8,003 Korean ancestry controls, 6,572 Japanese ancestry cases, 6,539 Japanese ancestry controls, 16,003 European ancestry cases, 41,335 European ancestry controls	rs11082321	0.21	7E-7	1.08
25038754	http://europepmc.org/abstract/MED/25038754	Genome-wide association analysis in East Asians identifies breast cancer susceptibility loci at 1q32.1, 5q14.3 and 15q26.1.	Breast cancer	2,867 Chinese ancestry cases, 2,285 Chinese ancestry controls, 2,246 Korean ancestry cases, 2,052 Korean ancestry controls	5,029 Chinese ancestry cases, 5,302 Chinese ancestry controls, 6,066 Korean ancestry cases, 8,003 Korean ancestry controls, 6,572 Japanese ancestry cases, 6,539 Japanese ancestry controls, 16,003 European ancestry cases, 41,335 European ancestry controls	rs2290203	0.504	4E-8	1.08
25038754	http://europepmc.org/abstract/MED/25038754	Genome-wide association analysis in East Asians identifies breast cancer susceptibility loci at 1q32.1, 5q14.3 and 15q26.1.	Breast cancer	2,867 Chinese ancestry cases, 2,285 Chinese ancestry controls, 2,246 Korean ancestry cases, 2,052 Korean ancestry controls	5,029 Chinese ancestry cases, 5,302 Chinese ancestry controls, 6,066 Korean ancestry cases, 8,003 Korean ancestry controls, 6,572 Japanese ancestry cases, 6,539 Japanese ancestry controls, 16,003 European ancestry cases, 41,335 European ancestry controls	rs2290203	0.504	4E-8	1.08
25038754	http://europepmc.org/abstract/MED/25038754	Genome-wide association analysis in East Asians identifies breast cancer susceptibility loci at 1q32.1, 5q14.3 and 15q26.1.	Breast cancer	2,867 Chinese ancestry cases, 2,285 Chinese ancestry controls, 2,246 Korean ancestry cases, 2,052 Korean ancestry controls	5,029 Chinese ancestry cases, 5,302 Chinese ancestry controls, 6,066 Korean ancestry cases, 8,003 Korean ancestry controls, 6,572 Japanese ancestry cases, 6,539 Japanese ancestry controls, 16,003 European ancestry cases, 41,335 European ancestry controls	rs2290203	0.504	4E-8	1.08
25038754	http://europepmc.org/abstract/MED/25038754	Genome-wide association analysis in East Asians identifies breast cancer susceptibility loci at 1q32.1, 5q14.3 and 15q26.1.	Breast cancer	2,867 Chinese ancestry cases, 2,285 Chinese ancestry controls, 2,246 Korean ancestry cases, 2,052 Korean ancestry controls	5,029 Chinese ancestry cases, 5,302 Chinese ancestry controls, 6,066 Korean ancestry cases, 8,003 Korean ancestry controls, 6,572 Japanese ancestry cases, 6,539 Japanese ancestry controls, 16,003 European ancestry cases, 41,335 European ancestry controls	rs4951011	0.282	9E-9	1.09
25038754	http://europepmc.org/abstract/MED/25038754	Genome-wide association analysis in East Asians identifies breast cancer susceptibility loci at 1q32.1, 5q14.3 and 15q26.1.	Breast cancer	2,867 Chinese ancestry cases, 2,285 Chinese ancestry controls, 2,246 Korean ancestry cases, 2,052 Korean ancestry controls	5,029 Chinese ancestry cases, 5,302 Chinese ancestry controls, 6,066 Korean ancestry cases, 8,003 Korean ancestry controls, 6,572 Japanese ancestry cases, 6,539 Japanese ancestry controls, 16,003 European ancestry cases, 41,335 European ancestry controls	rs4951011	0.282	9E-9	1.09
25038754	http://europepmc.org/abstract/MED/25038754	Genome-wide association analysis in East Asians identifies breast cancer susceptibility loci at 1q32.1, 5q14.3 and 15q26.1.	Breast cancer	2,867 Chinese ancestry cases, 2,285 Chinese ancestry controls, 2,246 Korean ancestry cases, 2,052 Korean ancestry controls	5,029 Chinese ancestry cases, 5,302 Chinese ancestry controls, 6,066 Korean ancestry cases, 8,003 Korean ancestry controls, 6,572 Japanese ancestry cases, 6,539 Japanese ancestry controls, 16,003 European ancestry cases, 41,335 European ancestry controls	rs10474352	0.482	2E-9	1.09
